s,Code,Name,Author,Category,Price,Page,Ex.,Stock(s),Rating,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Book_No.
1,ADM_KE001,EMPIRE OF PAIN: THE SECRET HISTORY OF THE SACKLER DYNASTY,"KEEFE, PATRICK RADDEN",Administration / Management,553.35,480,"The Sackler name adorns the walls of many storied institutions Harvard; the Metropolitan Museum of Art; Oxford; the Louvre. They are one of the richest families in the world, known for their lavish donations in the arts and the sciences. The source of the family fortune was vague, however, until it emerged that the Sacklers were responsible for making and marketing Oxycontin, a blockbuster painkiller that was a catalyst for the opioid crisis-an international epidemic of drug addiction which has killed nearly half a million people.
In this masterpiece of narrative reporting and writing, Patrick Radden Keefe exhaustively documents the jaw-dropping and ferociously compelling reality. Empire of Pain is the story of a dynasty: a parable of 21st century greed.",587,5,,,,,,,,,,,,1
2,ADM_AL002,"HOW TO FIX MEETINGS: MEET LESS, FOCUS ON OUTCOMES AND GET STUFF DONE",ALLCOTT & WATTS,Administration / Management,404.55,304,"Providing realistic and practical advice, productivity professionals Graham Allcott and Hayley Watts show how to reduce the amount of time you spend in meetings, and ensure that the ones that you do attend are genuine opportunities to collaborate and get things done.


Learn how to hold and attend meetings where the focus is on the outcome; get to grips with the 40-20-40 Continuum, so that only 20 per cent of your attention for each meeting is spent in the meeting itself - the rest is in the preparation and the follow-through; and understand when it's necessary to say that you won't be attending - and how best to do so.",1777,5,,,,,,,,,,,,2
3,ADM_AM003,The Bitcoin Standard : The Decentralized Alternative to Central Banking,"Ammous, Saifedean",Administration / Management,1052.0,224,"""Bitcoin is the digital age's novel, decentralized, and automated solution to the problem of money: accessible worldwide, controlled by nobody. Can this young upstart money challenge the global monetary order? Economist Saifedean Ammous traces the history of the technologies of money to seashells, limestones, cattle, salt, beads, metals, and government debt, explaining what gave these technologies their monetary role, what makes for sound money, and the benefits of a sound monetary regime to economic growth, innovation, culture, trade, individual freedom, and international peace""--",100,5,,,,,,,,,,,,3
4,ADM_DU004,LEADERS IN LOCKDOWN: INSIDE STORIES OF COVID-19 AND THE NEW WORLD OF BUSINESS,"DUNCAN, ATHOLL",Administration / Management,646.35,240,"There will be greater uncertainty and change in the next 20 years than there have been in the last 200. Due to Covid-19, many companies and business leaders have had to rapidly adapt to new practices, working habits and organizational challenges, in what will become the 'new normal'. New technologies and business models will place continually changing demands on business managers and leaders.",31,5,,,,,,,,,,,,4
5,ADM_GR005,MILLIONAIRE SUCCESS HABITS: THE GATEWAY TO WEALTH & PROSPERITY,"GRAZIOSI, DEAN",Administration / Management,832.35,288,"NEW EDITION--REVISED AND UPDATED with all-new chapters on productivity! Legendary business coach and entrepreneur Dean Graziosi takes you from where you are in life to where you want to be, using simple tools to reshape daily routines and open new doors to prosperity--whether you're a fellow entrepreneur, an employee or executive, or a new grad in your first job. Millionaire Success Habits is a book designed with one purpose in mind: to take you from where you are in life to where you want to be in life by incorporating easy-to-implement ""Success Habits"" into your daily routine. Legendary business coach Dean Graziosi has broken down the walls of complexity around success and created simple success recipes that you can quickly put to use in your life to reach the level of wealth and abundance you desire. This book is not about adding more time to your day. It is about replacing those things that are not serving your future with success habits designed specifically to assist you on your journey to a better you.",145,5,,,,,,,,,,,,5
6,ADM_HO006,"LEADER'S GUIDE TO NEGOTIATION, THE: HOW TO USE SOFT SKILLS TO GET HARD RESULTS","HORTON, SIMON",Administration / Management,976.5,235,- No Detail,321,5,,,,,,,,,,,,6
7,ADM_EI007,The Fail-Safe Startup: Your Roadmap for Entrepreneurial Success,"Eisenmann, Tom",Administration / Management,690.0,368,"Creating something from nothing is a daring act. Tom's wisdom and encouragement will give any reader the confidence to take the leap.' Eric Ries, bestselling author of The Lean Startup. If you want your startup to succeed, you need to understand why startups fail. For the past decade, this is a question that Tom Eisenmann has tried to answer. Focusing his research and his MBA class at Harvard University on the mistakes and missteps of entrepreneurs, for the first time, he reveals his findings, and - most importantly - how you can avoid them. Eisenmann's fascinating, often counter-intuitive, advice debunks common Silicon Valley mythology including: The False Promise: How early success, often based on extenuating factors, gives founders the misplaced confidence to expand. The False Start: That the 'fail fast' mentality of many founders can mean launching before they're ready - wasting time and money. The Audacity of Goals: Silicon Valley scoffs at moderate ambitions but the more audacious your goals, the more can go wrong. Drawing on case studies from startups around the world, in all shapes and sizes, The Fail-Safe Startup will show you how to analyse others' failure to ensure your success. ________________ 'A must read for any entrepreneur, investor, or startup team member.' Michelle Zatlyn, CEO, Cloudfare 'Eisenmann has truly helped illuminate a path to success by shining a spotlight on common startup failure patterns. His insights are invaluable, whether you're just getting started, or you're eyeing your endgame.' Jenn Hyman, CEO, Rent the Runway",57,5,,,,,,,,,,,,1
8,ADM_WE008,LEADERSHIP LANGUAGE: USING AUTHENTIC COMMUNICATION TO DRIVE RESULTS,"WESTFALL, CHRIS",Administration / Management,697.5,192,"The only language you need to know to change your results.Inside each of us is a vision of how things could be. Yet most people remain frustrated bya lack of impact, unable to connect and inspire the people they care about the most. Why?


There�s a language we understand, but rarely use. A language that�s sincere. Powerful. Compelling. A language of words�and actions�that can�t be denied.

Leadership Language will help you to peel back the ineffective �business speak�, so you can change the conversation. And change your results. Imagine what could happen when you replace frustration with an irresistible vision�for yourself, your team and your organization.",118,5,,,,,,,,,,,,2
9,ADM_TA009,Blockchain Revolution : How the Technology Behind Bitcoin and Other Cryptocurrencies Is Changing the World,"Tapscott, Don / Tapscott, Alex",Administration / Management,435.0,358,"Discusses blockchain technology, which facilitates peer-to-peer transactions without the need for such intermediaries as a bank or government, explaining such recent developments in the world of blockchain as cryptoassets, ICOs, and smart contracts.",250,5,,,,,,,,,,,,3
10,ADM_CA010,STARTING A BUSINESS WHEN YOU'RE AFRAID TO: THE STEP-BY-STEP BLUEPRINT TO GETTING,"CAVALLARO, MICHAELA",Administration / Management,441.75,192,"This comprehensive guide provides all of the information you need to evaluate your big idea, find the perfect space, hire the right staff, and get a steady stream of customers coming in the door. From legal and accounting, to HR and inventory management, StartiYour Own Business and Be Free guides entrepreneurs through the essential steps and strategies to launch a company that will stand the test of time.",97,5,,,,,,,,,,,,4
